No.,Name,Address,Address 2,City,Salesperson Code,Location Code,Post Code,Phone No.,Fax No.,Contact,Salesperson Code,Customer Posting Group
C0001,A.C.M THOWFEEK (INDIAN SELECTION),NO 17 ZAIVA MAWATHA,RATNAPURA,Ratnapura,SPK,SPK,51,,,Mr A C M Thowfeek,SPK,PK
C0002,A H A RAHUMAN,"207/9 STAR PLAZA MARKET 2ND CROSS STREET,",COLOMBO 11,Colombo,SPK,SPK,12,713288462,,Mr A H A Rahman,SPK,PK
C0003,A.M.HUSSAIN,"150, MAIN STREET,",RATNAPURA,Ratnapura,AX FORCE-1,SPK,51,452222416,,,AX FORCE-1,PK
C0004,A.S.B.STORES,"266/2, RATHNAJOTHI MW,WASKADUWA,",KALUTARA,Kalutara,CS001,VAN12,29,0344280982/718740998/716812031,344280630,Mr.Dinesh(Accountant)0711076005-Eranda-0360-001-,CS001,CS
C0005,A.S.PERERA TEXTILES - Accessories,"NO.19,STATION ROAD,",WADDUWA.,Wadduwa,CT001,VAN3,62,382296388,,Mr.Mangala(A/C 1410084001/2610000080/109,CT001,SCT
C0006,ABDULLAH,NO 09 MAIN STREET,KALMUNAI,Kalmunai,ET006,VAN14,28,0672220308/0777223982,,K M Shafie Hathim,ET006,ET
C0007,malhaes,"NO.26,KALUTARA ROAD,",BANDARAGAMA.,Bandaragama,BAD DEBT,VAN12,63,,,,BAD DEBT,CS
C0008,AL-MANAR,"NO.26, P.K. ROAD,",ERAUR 03,Eravur,SPK,SPK,16,,,,SPK,PK
C0009,AMANA FASHIONS,"NO.173,MADAMPE ROAD,",KULIYAPITIYA.,Kuliyapitiya,AZEEM,VAN15,36,0372282129/0777482933,,M.I.M RIYAS,AZEEM,NW
C0010,ARADANA TEX-GALENBINDUNUWEWA,"ANURADHAPURA ROAD,",GALENBINDUNUWEWA,Anuradhapura,AZEEM,VAN15,3,775087032,,K.Nawshad,AZEEM,NW
C0011,ARUNA EMPORIUM AMPARA,SIYRATA BUILDING D S.SENANAYAKE STREET,AMPARA,Ampara,ET006,VAN14,2,632224820,,,ET006,ET
C0012,ARUNA TEX [RAVINDU TEX],,MATHUGAMA,Mathugama,BAD DEBT,VAN11,64,,,,BAD DEBT,SN
C0013,ASHCHARYA[KOTUWA KADE],"NO.146, ANAGARIUKA DHARMAPALA MAWATHA",MATARA,Matara,SN003,VAN11,40,0772009012/041-5419740,,Mr.C.Wijewickrama,SN003,SN
C0014,ASHEE,"NO.33, KANDY ROAD,",KADAWATHA,Kadawatha,BAD DEBT,VAN1,65,0112925640/0777555316,,Mr.P.G.Ajith Upamalaka Nananayakkara,BAD DEBT,CN
C0015,ASKI EMPORIUM,"MAIN STREET,",SAINTHAMARUTHU,,ET006,VAN14,,672222746,,ZAHIR - ZAMIM,ET006,ET
C0016,B.K.TEX - Accessories,"NO:139/5A,KANDY ROAD,",KADAWATHA.,Kadawatha,CN003,VAN1,53,774813234,,,CN003,CN
C0017,BABA TEX,,KALMUNAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0018,BARAKATH TEX,"NO.18A, MAIN STREET,",MARUTHAMUNAI 04,,ET006,VAN14,,0672220733/077-3285240,,M.I.A.Fareed(A/C0010135634001/0010145765001/560,ET006,ET
C0019,BASIL TAILORS,"NO.2/5, NANDANA ROAD,",EHELIYAGODA,Eheliyagoda,SPK,SPK,37,362258516,,,SPK,PK
C0020,BEST CHOICE,,VAWNIYA,,ET006,VAN14,,,,,ET006,ET
C0021,BEST POINT,"NO.66, MAIN STREET,",KALMUNAI,Kalmunai,ET006,VAN14,56,,,S.H.Salahudeen(A/C-091010018130),ET006,ET
C0022,D K N INTERNATIONAL PVT LTD RAJAGIRIYA,438 R A DE MEL MAWATHA BERVERLY,COLOMBO 3,Colombo 3,CN003,VAN1,19,112564777,,A C 002930010467 3455 330 3410 440,CN003,CN
C0023,BISMI TEX,,KALMUNAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0024,BLACK,"NO.24, FLOWER ROAD,",COLOMBO 03,Colombo 3,BAD DEBT,VAN1,19,0776041074/(960)7775145,,Mr.Mohan,BAD DEBT,CN
C0025,BLOOMINS FASHIONS (PVT) LTD,COLOMBO ROAD,MAHAWEWA,Chilaw,NW003,VAN15,16,322254169,,A C 1550002727 1430030005 341 771 925,NW003,NW
C0026,BON POINT,"Al. AZER SHOW ROOM- CHILAW ROAD,",KATUNAERIYA,,AX FORCE-1,VAN15,,,,,AX FORCE-1,NW
C0027,BRAND COLLECTION,"42/S, NEW WING, GROUND FLOOR,LIBERTY PLAZZA",COLOMBO 03,Colombo 3,KYM,VAN1,19,2370453,,,KYM,CN
C0028,BRISTOL TAILORS Material,GALLE FACE SHOPPING VILLAGE,COLOMBO 03,Colombo 3,CT001,VAN3,19,,,5503760,CT001,SCT
C0029,C.I.B - Maharagama,"NO.101,PAMUNUWA RD,",MAHARAGAMA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0030,CADER TEXTILE,NO 86 MAIN STREET,ODDAMAVADI,,ET006,VAN14,,652257984,,A C 16488001 1070048231 3874 2330,ET006,ET
C0031,CAREEMS,"NO.91 ,MAIN STREET",MATALE,Matale,CE1004,VAN13,76,,,Mr.Sideek-7774,CE1004,CE-1
C0032,CASEEM'S M/C,"NO:2/31, FIRST FLOOR,",COL-04,,A OTHERS,VAN1,,112592805,,,A OTHERS,CN
C0033,CAT WORK FASHION,"157A ,JAYASINGHE MAWATHA,",NUGEGODA,Nugegoda,CS001,VAN12,87,112823520,,"Mr, Siva",CS001,CS
C0034,CELEBRATION,NO 26 NEW BAZAAR STREET,NUWARA ELIYA,Nuwara Eliya,CE1004,VAN13,88,522235573,,A C 28010010221 2083177001 2065449 2065415 4318 42,CE1004,CE-1
C0035,CHAMEES-BANDARAWELA,"NO.232/c, MAIN STREET,",BANDARAWELLA,Bandarawela,ET006,VAN14,10,0773550099/057-2225599,,R.G.C.Rajapaksha(A/C-004650010731),ET006,ET
C0036,CHARLY TOWN,"NO.44, BAZAAR STREET,",BADULLA.,Badulla,CE2001,VAN7,6,552223116,,,CE2001,CE-2
C0037,EXPERT,NO 30 90 MAIN STREET DARGA TOWN,,Aluthgama,,,,,,,,
,ALUTHGAMA,,,,,,,,,,,
,,NOVAT,SN003,SN,,A C129010005736,SN003,,WHOLESALE,ALL,,
C0038,CHEAP CENTRE-MARTHAMNAI,MAIN STREET,MARUTHAMUNAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0039,CHEAP CORNER,337 MAIN STREET,MARUTHAMUNAI,,ET006,VAN14,,0672225724/071-9238612/075-2026696,,N M M Ameer A C 011250004526 7083605001 1248,ET006,ET
C0040,CHEAP SIDE-OLD,"NO.24, MAIN STREET",BALANGODA,Balangoda,BAD DEBT,VAN7,7,452287346,,,BAD DEBT,CE-2
C0041,CHOICE PARK- AKURANA,"NO:83A, MAIN STREET,",AKURANA,,CE1001,VAN13,,,,,CE1001,CE-1
C0042,CHOICE PARK-KEKIRAWA,"NO.32, MAIN STREET,",KEKIRAWA.,,BAD DEBT,VAN15,,252264307,,,BAD DEBT,NW
C0043,CHOICE PARK - MATALE,"NO.83A, MATALE ROAD,",MATALE,Matale,CE1004,VAN13,76,716868583,,Rizwan(71634300/14950005050/8758002),CE1004,CE-1
C0044,CITY CENTRE,NO 451 WARAGASHINNA ROAD,AKURANA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0045,CITY EMPORIUM,"NO.525,MAIN STREET,",RATNAPURA.,Rathnapura,SPK,SPK,100,,,,SPK,PK
C0046,CITY LINE TEXTILES,NO 53 KANDY ROAD,KIRIBATHGODA,kiribathgoda,CN003,VAN1,66,112909765,,A C056010004752 6000338083001 885975001 1932 3382,CN003,CN
C0047,CITY PALACE-WENNAPPUWA,"NO:95,MAIN STREET,",WENNAPPUWA,Wennapuwa,NW003,VAN15,120,0312255298/0314878153,,Fernando W.A.E.S.(A/C-1260017015/2666,NW003,NW
C0048,CITY POINT DIKWELLA,NO 15 MAIN STREET,DIKWELLA,Matara,SN003,VAN11,77,412255960,,,SN003,SN
C0049,CLASS SELECTION,"NO.398, MAIN STREET,",PANADURA.,Panadura,CS001,VAN12,90,382234799,,Kamal Abdul cader,CS001,CS
C0050,CLASSIC FINE SELECTION,"MAIN STREET,",AKKARAIPATTU.,,ET006,VAN14,,672277700,,U.L.A.Razak (A/C-078010005147),ET006,ET
C0051,COLOMBO TEXTILES,"31,VEYANGODA ROAD,",RUWENWELLA,,ET006,VAN14,,0777591648/036-2267239,,Mr.Fahim(A/C-6659091/5394,ET006,ET
C0052,COOL PLANET PVT LTD,NO 771 PANNIPITIYA RD PALAWATTA,BATTARAMULLA,Battaramulla,CS001,VAN12,11,0114879750/054-2786289/043-80346,,085010015142 085010020699 22303 2742,CS001,CS
C0053,CROWN'S,"NO.64, AMPARA ROAD,",SAMMANTURAI,,ET006,VAN14,,672261337,,152032512633-0077484105,ET006,ET
C0054,CROWN ULTRA FASHION PVT LTD,NO 186 39A MUDALI MAWATHA WEYANGODA ROAD,MINUWANGODA,Minuwangoda,CN003,VAN1,79,112280150,,Pradeep 16766 01 94010004852 21100100016766 746 44,CN003,CN
C0055,FANCY CENTER,"NO.27, MARKET SITE,",ANURADHAPURA.,Anuradhapura,SPK,SPK,4,,,,SPK,PK
C0056,DAMSARI DRESS POINT,"NO.NO.213/7,MAITHREEPALA SENANAYAKA MW",ANURADAPURA,Anuradhapura,NW001,VAN15,4,252235214,,,NW001,NW
C0057,DASWANEES,"NO.1B , QUEENS HOTEL BUILDING,TRICOMALE STREET",KANDY,Kandy,CE1001,VAN13,59,81223998,,,CE1001,CE-1
C0058,DAYARA FASHION,,HOMAGAMA,Homagama,CE2001,VAN7,49,,,Mr. Shakoor,CE2001,CE-2
C0059,DEE DAY,"NO.22KOTUGODELLA STREET,",KANDY,Kandy,AX FORCE-1,VAN13,59,755605591,,Mr Sameer,AX FORCE-1,CE-1
C0060,DEEP CORNER,NO 12 1 ASGANGULA ROAD,EHELIYAGODA,Eheliyagoda,ET006,VAN14,37,0362258589/036-2258080,,0005806544 BOC,ET006,ET
